0.25
LAMBDA0 OMEGA GAMMA GAM
0.05 448296.52412611718 153331.48279807350 82959
0.10 433104.49994951533 132116.28076308977 80746
0.15 414980.82819861255 112452.46183878303 78471
0.20 394237.71732600324 95159.783439674284 76128
0.25 371486.93185307411 80566.725426851437 73711
0.30 347571.83213970537 69110.914319937569 71212
0.35 326036.04328532307 59023.248866363407 68621
0.40 305919.70525819709 48430.762532176072 65929
0.44 290829.92821331572 37693.020424282542 63694
0.46 282893.14663216012 30942.104836644128 62546
0.48 275306.54331896623 23629.171645086877 61377
0.50 266436.49198046944 15565.025254031340 60185
0.52 255931.33154180535 6255.4782426776828 58969
0.53 249234.91979133763 1772.8478815561703 58351
